product_category_name,product_category_name_english,Gross_category
beleza_saude,health_beauty,Cosmétique&habillement
informatica_acessorios,computers_accessories,Domotique&electronique
automotivo,auto,Bricolage
cama_mesa_banho,bed_bath_table,Meubles
moveis_decoracao,furniture_decor,Meubles
esporte_lazer,sports_leisure,Loisir
perfumaria,perfumery,Cosmétique&habillement
utilidades_domesticas,housewares,Meubles
telefonia,telephony,Domotique&electronique
relogios_presentes,watches_gifts,Loisir
alimentos_bebidas,food_drink,Alimentation
bebes,baby,Nursery
papelaria,stationery,Loisir
tablets_impressao_imagem,tablets_printing_image,Loisir
brinquedos,toys,Loisir
telefonia_fixa,fixed_telephony,Domotique&electronique
ferramentas_jardim,garden_tools,Bricolage
fashion_bolsas_e_acessorios,fashion_bags_accessories,Cosmétique&habillement
eletroportateis,small_appliances,Domotique&electronique
consoles_games,consoles_games,Loisir
audio,audio,Loisir
fashion_calcados,fashion_shoes,Cosmétique&habillement
cool_stuff,cool_stuff,Autre
malas_acessorios,luggage_accessories,Cosmétique&habillement
climatizacao,air_conditioning,Domotique&electronique
construcao_ferramentas_construcao,construction_tools_construction,Bricolage
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Meubles
construcao_ferramentas_jardim,costruction_tools_garden,Bricolage
fashion_roupa_masculina,fashion_male_clothing,Cosmétique&habillement
pet_shop,pet_shop,Animaux
moveis_escritorio,office_furniture,Meubles
market_place,market_place,Autre
eletronicos,electronics,Domotique&electronique
eletrodomesticos,home_appliances,Domotique&electronique
artigos_de_festas,party_supplies,Loisir
casa_conforto,home_confort,Meubles
construcao_ferramentas_ferramentas,costruction_tools_tools,Domotique&electronique
agro_industria_e_comercio,agro_industry_and_commerce,Industry
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Meubles
livros_tecnicos,books_technical,Loisir
casa_construcao,home_construction,Domotique&electronique
instrumentos_musicais,musical_instruments,Loisir
moveis_sala,furniture_living_room,Meubles
construcao_ferramentas_iluminacao,construction_tools_lights,Domotique&electronique
industria_comercio_e_negocios,industry_commerce_and_business,Industry
alimentos,food,Alimentation
artes,art,Loisir
moveis_quarto,furniture_bedroom,Meubles
livros_interesse_geral,books_general_interest,Loisir
construcao_ferramentas_seguranca,construction_tools_safety,Bricolage
fashion_underwear_e_moda_praia,fashion_underwear_beach,Cosmétique&habillement
fashion_esporte,fashion_sport,Cosmétique&habillement
sinalizacao_e_seguranca,signaling_and_security,Bricolage
pcs,computers,Domotique&electronique
artigos_de_natal,christmas_supplies,Autre
fashion_roupa_feminina,fashio_female_clothing,Cosmétique&habillement
eletrodomesticos_2,home_appliances_2,Domotique&electronique
livros_importados,books_imported,Loisir
bebidas,drinks,Alimentation
cine_foto,cine_photo,Loisir
la_cuisine,la_cuisine,Meubles
musica,music,Loisir
casa_conforto_2,home_comfort_2,Domotique&electronique
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Domotique&electronique
cds_dvds_musicais,cds_dvds_musicals,Loisir
dvds_blu_ray,dvds_blu_ray,Loisir
flores,flowers,Loisir
artes_e_artesanato,arts_and_craftmanship,Loisir
fraldas_higiene,diapers_and_hygiene,Nursery
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Cosmétique&habillement
seguros_e_servicos,security_and_services,Domotique&electronique
